"dataset","parameter","parameter_value","melsi_F","melsi_p","melsi_time"
"Param_B10","B",10,1.94537668552204,0.05,7.81783103942871
"Param_B20","B",20,1.96760498550308,0.05,13.7937819957733
"Param_B50","B",50,1.95784403140803,0.05,32.7764501571655
"Param_B100","B",100,1.95011550396404,0.05,64.8884701728821
"Param_mfrac0.5","m_frac",0.5,1.97244435333359,0.05,12.5707988739014
"Param_mfrac0.7","m_frac",0.7,1.93651202672558,0.05,13.9327099323273
"Param_mfrac0.8","m_frac",0.8,1.89736202218569,0.05,15.4397881031036
"Param_mfrac0.9","m_frac",0.9,1.88020861417636,0.05,14.8588979244232
